context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-f2p128-ext,F_2^128 (ext-challenge),field,3,8,4,1,128,1e-09,405,1.631,44.826,76.442,875.031,896032,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,4,16,4,1,128,1e-09,410,4.132,73.367,107.612,1257.781,1287968,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,5,32,4,1,128,1e-09,413,7.141,126.200,138.013,1680.375,1720704,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,6,64,4,1,128,1e-09,415,13.841,228.760,169.147,2142.812,2194240,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,7,128,4,1,128,1e-09,416,31.851,436.059,200.894,2642.375,2705792,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,8,256,4,1,128,1e-09,417,73.423,839.724,237.421,3183.406,3259808,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,9,512,4,1,128,1e-09,418,165.619,1655.823,268.637,3766.188,3856576,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,10,1024,4,1,128,1e-09,419,366.887,3303.172,303.463,4391.000,4496384,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,11,2048,4,1,128,1e-09,420,806.576,6539.513,343.419,5058.125,5179520,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,12,4096,4,1,128,1e-09,421,1682.533,12766.846,381.731,5767.844,5906272,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,13,8192,4,1,128,1e-09,421,3386.015,23507.977,422.994,6505.000,6661120,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,14,16384,4,1,128,1e-09,422,6903.541,44031.392,469.817,7298.906,7474080,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,15,32768,4,1,128,1e-09,424,14136.481,83025.978,524.694,8155.375,8351104,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,16,65536,4,1,128,1e-09,429,28025.951,166867.600,582.462,9123.281,9342240,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,17,131072,4,1,128,1e-09,433,58894.096,335894.434,699.283,10128.812,10371904,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,18,262144,4,1,128,1e-09,438,119717.090,692219.368,887.224,11217.906,11487136,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,19,524288,4,1,128,1e-09,443,242357.238,1437244.546,1325.078,12370.719,12667616,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,20,1048576,4,1,128,1e-09,448,504901.299,2965441.178,2352.404,13588.656,13914784,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,21,2097152,4,1,128,1e-09,453,1125562.441,6119599.825,4971.544,14873.125,15230080,ok,-
