context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
ring-gr-2p2-162,GR(2^2;162),ring,3,8,4,1,128,0.000975893671809593661,445,2.345,27.384,34.785,1094.691,1120964,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,4,16,4,1,128,0.00102638106164664202,474,4.668,41.879,43.558,1643.172,1682608,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,5,32,4,1,128,0.00105282917148951025,496,9.182,62.322,51.625,2265.225,2319590,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,6,64,4,1,128,0.00107617585429552394,515,20.502,105.632,59.982,2966.961,3038168,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,7,128,4,1,128,0.00110214167429337532,533,47.974,197.070,69.573,3757.066,3847236,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,8,256,4,1,128,0.00112938097309288157,551,109.705,376.821,82.088,4645.164,4756648,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,9,512,4,1,128,0.00114766951904880922,569,245.507,759.797,92.417,5636.316,5771588,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,10,1024,4,1,128,0.0011677842301321403,588,544.265,1552.814,113.007,6747.051,6908980,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,11,2048,4,1,128,0.00119875179836921009,609,1185.985,3147.534,127.830,8000.543,8192556,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,12,4096,4,1,128,0.00121275432095010189,630,2474.050,6191.223,143.922,9382.906,9608096,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,13,8192,4,1,128,0.00124304548379843397,654,5043.915,12516.874,177.969,10950.244,11213050,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,14,16384,4,1,128,0.00126521259255399801,679,10188.709,24922.430,208.319,12688.602,12993128,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,15,32768,4,1,128,0.00127706359448921693,705,20589.901,50088.627,242.301,14610.840,14961500,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,16,65536,4,1,128,0.00129805747589457178,734,42122.416,101998.493,282.162,16776.070,17178696,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,17,131072,4,1,128,0.00132213445345459717,766,84795.141,205633.820,360.370,19211.627,19672706,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,18,262144,4,1,128,0.0013406612580322047,800,169055.237,420207.741,455.443,21919.145,22445204,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,19,524288,4,1,128,0.00135809519536775691,837,348096.023,868599.983,715.734,24951.895,25550740,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,20,1048576,4,1,128,0.00137225635265349897,877,747903.639,1774743.220,1271.703,28341.992,29022200,ok,-
