context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,3,8,4,1,128,1e-09,405,1.758,57.054,145.064,1332.281,1364256,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,4,16,4,1,128,1e-09,410,4.599,98.649,204.008,1874.781,1919776,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,5,32,4,1,128,1e-09,413,7.756,152.967,257.452,2457.125,2516096,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,6,64,4,1,128,1e-09,415,15.321,282.009,307.760,3079.312,3153216,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,7,128,4,1,128,1e-09,416,35.402,522.052,363.701,3737.500,3827200,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,8,256,4,1,128,1e-09,417,81.068,1008.692,427.032,4437.906,4544416,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,9,512,4,1,128,1e-09,418,183.329,1974.882,478.950,5180.812,5305152,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,10,1024,4,1,128,1e-09,419,405.770,3920.211,539.176,5966.500,6109696,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,11,2048,4,1,128,1e-09,420,895.777,7866.935,604.528,6795.250,6958336,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,12,4096,4,1,128,1e-09,421,1896.668,15056.203,680.493,7667.344,7851360,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,13,8192,4,1,128,1e-09,421,3823.480,27649.339,728.992,8562.750,8768256,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,14,16384,4,1,128,1e-09,422,7816.370,50702.573,805.506,9520.156,9748640,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,15,32768,4,1,128,1e-09,424,15542.933,97289.527,867.638,10546.500,10799616,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,16,65536,4,1,128,1e-09,429,31924.392,190146.615,970.931,11703.781,11984672,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,17,131072,4,1,128,1e-09,433,65310.103,377830.648,1081.700,12896.062,13205568,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,18,262144,4,1,128,1e-09,438,133773.228,764396.467,1227.564,14181.656,14522016,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,19,524288,4,1,128,1e-09,443,280784.870,1536149.609,1591.746,15534.719,15907552,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,20,1048576,4,1,128,1e-09,448,596788.573,3125503.209,2433.088,16956.656,17363616,ok,-
ring-gr-2p16-128-ext,GR(2^16;128) (ext-challenge),ring,21,2097152,4,1,128,1e-09,453,1205992.085,6195083.286,2942.027,18448.875,18891648,ok,-
