context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-f2p64-ext,F_2^64 (ext-challenge),field,3,8,4,1,128,5.11702105512502896e-06,416,0.863,30.044,41.754,663.938,679872,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,4,16,4,1,128,4.98142614046585517e-06,421,2.218,45.654,60.751,974.719,998112,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,5,32,4,1,128,4.90164721976529548e-06,429,3.141,72.987,79.591,1342.000,1374208,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,6,64,4,1,128,5.00867570727734289e-06,439,8.002,127.963,98.664,1771.312,1813824,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,7,128,4,1,128,4.93826115439943237e-06,447,17.013,232.412,120.479,2250.781,2304800,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,8,256,4,1,128,4.99482138115929393e-06,455,38.851,451.008,140.245,2788.906,2855840,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,9,512,4,1,128,4.89249037770713414e-06,462,86.384,856.149,173.435,3380.625,3461760,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,10,1024,4,1,128,5.01219153925923389e-06,470,199.646,1707.280,186.334,4041.531,4138528,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,11,2048,4,1,128,4.8960348755059296e-06,477,422.911,3345.369,214.523,4757.781,4871968,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,12,4096,4,1,128,4.95541448177780666e-06,485,905.586,6369.880,240.448,5550.094,5683296,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,13,8192,4,1,128,4.98833062528664842e-06,493,1820.630,11523.973,267.575,6412.125,6566016,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,14,16384,4,1,128,4.9787985303359473e-06,501,3670.281,21411.305,298.801,7346.125,7522432,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,15,32768,4,1,128,4.91161197784663263e-06,509,7303.839,39911.149,333.588,8354.344,8554848,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,16,65536,4,1,128,4.82297790969597844e-06,517,14745.182,81206.150,394.525,9439.031,9665568,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,17,131072,4,1,128,4.87800096165597356e-06,526,29973.090,157795.057,486.496,10622.625,10877568,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,18,262144,4,1,128,4.89526288135336544e-06,535,63217.746,321729.217,679.693,11891.250,12176640,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,19,524288,4,1,128,4.842072227506167e-06,544,126231.841,657858.612,1179.271,13247.438,13565376,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,20,1048576,4,1,128,4.75348894065244861e-06,553,258083.688,1337416.192,2196.450,14693.719,15046368,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,21,2097152,4,1,128,4.80759485447769516e-06,563,546213.057,2728472.325,4949.250,16261.500,16651776,ok,-
