context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,3,8,4,1,128,5.11702105512502896e-06,416,1.083,36.188,95.286,898.750,920320,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,4,16,4,1,128,4.98142614046585517e-06,421,2.407,49.863,136.167,1291.469,1322464,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,5,32,4,1,128,4.90164721976529548e-06,429,4.977,85.640,172.810,1745.375,1787264,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,6,64,4,1,128,5.00867570727734289e-06,439,8.782,150.756,217.695,2266.562,2320960,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,7,128,4,1,128,4.93826115439943237e-06,447,18.687,317.021,260.804,2839.031,2907168,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,8,256,4,1,128,4.99482138115929393e-06,455,41.867,539.587,303.529,3473.156,3556512,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,9,512,4,1,128,4.89249037770713414e-06,462,95.000,1043.094,343.051,4162.188,4262080,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,10,1024,4,1,128,5.01219153925923389e-06,470,213.722,2049.670,386.741,4924.906,5043104,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,11,2048,4,1,128,4.8960348755059296e-06,477,466.444,4167.692,445.522,5743.906,5881760,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,12,4096,4,1,128,4.95541448177780666e-06,485,981.196,7730.451,494.290,6643.844,6803296,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,13,8192,4,1,128,4.98833062528664842e-06,493,1980.259,14103.039,556.826,7616.500,7799296,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,14,16384,4,1,128,4.9787985303359473e-06,501,3991.391,25910.409,597.753,8664.125,8872064,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,15,32768,4,1,128,4.91161197784663263e-06,509,8088.073,49963.420,665.110,9788.969,10023904,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,16,65536,4,1,128,4.82297790969597844e-06,517,16282.495,97293.782,741.562,10993.281,11257120,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,17,131072,4,1,128,4.87800096165597356e-06,526,33415.918,192848.364,838.768,12302.688,12597952,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,18,262144,4,1,128,4.89526288135336544e-06,535,71142.112,394455.810,1007.867,13700.500,14029312,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,19,524288,4,1,128,4.842072227506167e-06,544,139128.704,781583.832,1273.199,15189.250,15553792,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,20,1048576,4,1,128,4.75348894065244861e-06,553,290302.167,1591723.719,1679.701,16771.469,17173984,ok,-
ring-gr-2p16-64-ext,GR(2^16;64) (ext-challenge),ring,21,2097152,4,1,128,4.80759485447769516e-06,563,633245.039,3226556.258,2507.054,18482.500,18926080,ok,-
