context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-f2p64-ext,F_2^64 (ext-challenge),field,3,8,4,1,128,5.11702105512502896e-06,400,0.863,30.044,41.754,1090.062,1116224,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,4,16,4,1,128,4.98142614046585517e-06,417,2.218,45.654,60.751,1592.969,1631200,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,5,32,4,1,128,4.90164721976529548e-06,429,3.141,72.987,79.591,2148.750,2200320,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,6,64,4,1,128,5.00867570727734289e-06,439,8.002,127.963,98.664,2761.812,2828096,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,7,128,4,1,128,4.93826115439943237e-06,447,17.013,232.412,120.479,3427.281,3509536,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,8,256,4,1,128,4.99482138115929393e-06,455,38.851,451.008,140.245,4157.406,4257184,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,9,512,4,1,128,4.89249037770713414e-06,462,86.384,856.149,173.435,4943.750,5062400,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,10,1024,4,1,128,5.01219153925923389e-06,470,199.646,1707.280,186.334,5808.281,5947680,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,11,2048,4,1,128,4.8960348755059296e-06,477,422.911,3345.369,214.523,6730.031,6891552,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,12,4096,4,1,128,4.95541448177780666e-06,485,905.586,6369.880,240.448,7737.594,7923296,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,13,8192,4,1,128,4.98833062528664842e-06,493,1820.630,11523.973,267.575,8820.875,9032576,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,14,16384,4,1,128,4.9787985303359473e-06,501,3670.281,21411.305,298.801,9982.125,10221696,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,15,32768,4,1,128,4.91161197784663263e-06,509,7303.839,39911.149,333.588,11223.594,11492960,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,16,65536,4,1,128,4.82297790969597844e-06,517,14745.182,81206.150,394.525,12547.531,12848672,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,17,131072,4,1,128,4.87800096165597356e-06,526,29973.090,157795.057,486.496,13982.750,14318336,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,18,262144,4,1,128,4.89526288135336544e-06,535,63217.746,321729.217,679.693,15509.750,15881984,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,19,524288,4,1,128,4.842072227506167e-06,544,126231.841,657858.612,1179.271,17131.062,17542208,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,20,1048576,4,1,128,4.75348894065244861e-06,553,258083.688,1337416.192,2196.450,18849.219,19301600,ok,-
field-f2p64-ext,F_2^64 (ext-challenge),field,21,2097152,4,1,128,4.80759485447769516e-06,563,546213.057,2728472.325,4949.250,20703.500,21200384,ok,-
