context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-255,Field-255,field,15,32768,4,1,128,1e-09,425,345.179,884.359,130.552,6826.039,6989864,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,15,32768,4,1,128,0.00127706359448921693,705,20141.463,61805.743,275.327,60347.641,61795984,ok,-
field-f2p256,F_2^256,field,15,32768,4,1,128,1e-09,424,28924.646,72795.483,167.251,49103.008,50281480,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,15,32768,4,1,128,0.00127706359448921693,705,20589.901,50088.627,242.301,55320.895,56648596,ok,-
field-255,Field-255,field,16,65536,4,1,128,1e-09,430,700.629,1883.251,155.980,7689.219,7873760,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,16,65536,4,1,128,0.00129805747589457178,734,42290.043,125074.389,308.434,67565.328,69186896,ok,-
field-f2p256,F_2^256,field,16,65536,4,1,128,1e-09,429,59554.548,145427.096,197.016,53313.938,54593472,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,16,65536,4,1,128,0.00129805747589457178,734,42122.416,101998.493,282.162,61983.289,63470888,ok,-
field-255,Field-255,field,17,131072,4,1,128,1e-09,434,1414.601,4016.671,204.924,8591.594,8797792,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,17,131072,4,1,128,0.00132213445345459717,766,81476.015,252447.116,390.825,75524.043,77336620,ok,-
field-f2p256,F_2^256,field,17,131072,4,1,128,1e-09,433,118659.410,296887.710,238.820,57517.539,58897960,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,17,131072,4,1,128,0.00132213445345459717,766,84795.141,205633.820,360.370,69334.979,70999018,ok,-
field-255,Field-255,field,18,262144,4,1,128,1e-09,439,2841.253,8270.694,279.845,9572.141,9801872,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,18,262144,4,1,128,0.0013406612580322047,800,168841.953,510139.573,528.731,84186.555,86207032,ok,-
field-f2p256,F_2^256,field,18,262144,4,1,128,1e-09,438,242719.588,606633.547,346.358,61971.672,63458992,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,18,262144,4,1,128,0.0013406612580322047,800,169055.237,420207.741,455.443,77343.004,79199236,ok,-
field-255,Field-255,field,19,524288,4,1,128,1e-09,444,5691.669,16368.838,408.160,10614.391,10869136,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,19,524288,4,1,128,0.00135809519536775691,837,350130.003,1042492.405,693.139,93714.094,95963232,ok,-
field-f2p256,F_2^256,field,19,524288,4,1,128,1e-09,443,514283.587,1254615.071,542.596,66553.742,68151032,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,19,524288,4,1,128,0.00135809519536775691,837,348096.023,868599.983,715.734,86156.730,88224492,ok,-
field-255,Field-255,field,20,1048576,4,1,128,1e-09,449,11300.206,33869.909,777.624,11719.750,12001024,ok,-
ring-gr-2p16-162,GR(2^16;162),ring,20,1048576,4,1,128,0.00137225635265349897,877,740922.477,2136747.434,1084.675,104177.641,106677904,ok,-
field-f2p256,F_2^256,field,20,1048576,4,1,128,1e-09,448,1093227.539,2561929.383,886.048,71265.156,72975520,ok,-
ring-gr-2p2-162,GR(2^2;162),ring,20,1048576,4,1,128,0.00137225635265349897,877,747903.639,1774743.220,1271.703,95842.867,98143096,ok,-
field-255,Field-255,field,21,2097152,4,1,128,1e-09,454,22664.367,70128.722,1278.888,12889.625,13198976,ok,-
