context_id,context_label,mode,d,poly_dim,c,k0,lambda,gamma,queries,commit_mean_ms,prover_mean_ms,verifier_mean_ms,proof_size_kb,proof_size_bytes,status,error
field-f2p128-ext,F_2^128 (ext-challenge),field,3,8,4,1,128,1e-09,358,1.631,44.826,76.442,4059.133,4156552,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,4,16,4,1,128,1e-09,369,4.132,73.367,107.612,5645.531,5781024,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,5,32,4,1,128,1e-09,377,7.141,126.200,138.013,7296.633,7471752,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,6,64,4,1,128,1e-09,383,13.841,228.760,169.147,9001.703,9217744,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,7,128,4,1,128,1e-09,388,31.851,436.059,200.894,10765.258,11023624,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,8,256,4,1,128,1e-09,393,73.423,839.724,237.421,12608.000,12910592,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,9,512,4,1,128,1e-09,397,165.619,1655.823,268.637,14494.914,14842792,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,10,1024,4,1,128,1e-09,401,366.887,3303.172,303.463,16454.797,16849712,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,11,2048,4,1,128,1e-09,406,806.576,6539.513,343.419,18534.320,18979144,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,12,4096,4,1,128,1e-09,410,1682.533,12766.846,381.731,20648.219,21143776,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,13,8192,4,1,128,1e-09,415,3386.015,23507.977,422.994,22893.602,23443048,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,14,16384,4,1,128,1e-09,419,6903.541,44031.392,469.817,25166.391,25770384,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,15,32768,4,1,128,1e-09,424,14136.481,83025.978,524.694,27582.883,28244872,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,16,65536,4,1,128,1e-09,429,28025.951,166867.600,582.462,30089.438,30811584,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,17,131072,4,1,128,1e-09,433,58894.096,335894.434,699.283,32612.289,33394984,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,18,262144,4,1,128,1e-09,438,119717.090,692219.368,887.224,35297.922,36145072,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,19,524288,4,1,128,1e-09,443,242357.238,1437244.546,1325.078,38077.742,38991608,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,20,1048576,4,1,128,1e-09,448,504901.299,2965441.178,2352.404,40953.156,41936032,ok,-
field-f2p128-ext,F_2^128 (ext-challenge),field,21,2097152,4,1,128,1e-09,453,1125562.441,6119599.825,4971.544,43925.570,44979784,ok,-
